ID,NAME,STARTYEAR,ENDYEAR,POS,HT,WT,BIRTHDATE,COLLEGE
143,Bill Dinwiddie,1968,1972,F,6-7,220,July 15, 1943,New Mexico Highlands University
144,Spencer Dinwiddie,2015,2018,G,6-6,200,April 6, 1993,University of Colorado
145,Ike Diogu,2006,2012,F,6-8,250,September 11, 1983,Arizona State University
146,DeSagana Diop,2002,2013,C,7-0,300,January 30, 1982,
147,Terry Dischinger,1963,1973,F-G,6-7,189,November 21, 1940,Purdue University
148,Fred Diute,1955,1955,G,6-3,210,January 9, 1929,St. Bonaventure University
149,Vlade Divac,1990,2005,C,7-1,243,February 3, 1968,
150,Juan Dixon,2003,2009,G,6-3,164,October 9, 1978,University of Maryland
151,Aleksandar Djordjevic,1997,1997,G,6-2,198,August 26, 1967,
152,Earl Dodd,1950,1950,F,6-5,175,November 1, 1924,Truman State University
153,Michael Doleac,1999,2008,C,6-11,262,June 15, 1977,University of Utah
154,Joe Dolhon,1950,1951,G,6-0,175,July 9, 1927,New York University
155,Bob Doll,1947,1950,F-C,6-5,195,August 10, 1919,University of Colorado
156,James Donaldson,1981,1995,C,7-2,275,August 16, 1957,Washington State University
157,Bob Donham,1951,1954,G-F,6-2,190,October 11, 1926,Ohio State University
158,Billy Donovan,1988,1988,G,5-11,171,May 30, 1965,Providence College
159,Harry Donovan,1950,1950,G,6-2,180,September 10, 1926,Muhlenberg College
160,Keyon Dooling,2001,2013,G,6-3,196,May 8, 1980,University of Missouri
161,Jacky Dorsey,1978,1981,F,6-7,230,December 18, 1954,University of Georgia
162,Joey Dorsey,2009,2015,F,6-8,268,December 16, 1983,University of Memphis
163,Ron Dorsey,1972,1972,F,6-4,200,October 10, 1948,Tennessee State University
164,Tyler Dorsey,2018,2018,G,6-5,183,February 14, 1996,University of Oregon
165,Damyean Dotson,2018,2018,G,6-6,205,May 6, 1994,University of Oregon, University of Houston
166,Quincy Douby,2007,2009,G,6-3,175,May 16, 1984,Rutgers University
167,Bruce Douglas,1987,1987,G,6-3,195,April 9, 1964,University of Illinois at Urbana-Champaign
168,John Douglas,1982,1983,G,6-2,170,June 12, 1956,University of Kansas
169,Leon Douglas,1977,1983,C-F,6-10,230,August 26, 1954,University of Alabama
170,Sherman Douglas,1990,2001,G,6-0,180,September 15, 1966,Syracuse University
171,Toney Douglas,2010,2017,G,6-2,195,March 16, 1986,Auburn University, Florida State University
172,Chris Douglas-Roberts,2009,2015,G,6-7,200,January 8, 1987,University of Memphis
173,Sonny Dove,1968,1972,F,6-7,198,August 16, 1945,St. John's University
174,Jerry Dover,1972,1972,G,5-7,155,October 16, 1949,LeMoyne-Owen College
175,Zabian Dowdell,2011,2011,G,6-3,191,September 10, 1984,Virginia Polytechnic Institute and State University
176,Bill Downey,1948,1948,C,6-6,210,November 11, 1923,Marquette University
177,Steve Downing,1974,1975,C,6-8,225,September 9, 1950,Indiana University
178,Danny Doyle,1963,1963,F,6-8,200,February 6, 1940,Belmont Abbey College
179,Milton Doyle,2018,2018,G,6-4,185,October 31, 1993,Loyola University of Chicago
180,PJ Dozier,2018,2018,G,6-7,201,October 25, 1996,University of South Carolina
181,Terry Dozier,1990,1990,F,6-9,210,June 29, 1966,University of South Carolina
182,Goran Dragic,2009,2018,G,6-3,190,May 6, 1986,
183,Zoran Dragic,2015,2015,G-F,6-5,200,June 22, 1989,
184,Greg Dreiling,1987,1997,C,7-1,250,November 7, 1962,Wichita State University, University of Kansas
185,Bryce Drew,1999,2004,G,6-2,185,September 21, 1974,Valparaiso University
186,John Drew,1975,1985,F-G,6-6,205,September 30, 1954,Gardner-Webb University
187,Larry Drew,1981,1991,G,6-1,170,April 2, 1958,University of Missouri
188,Larry Drew,2015,2018,G,6-2,180,March 5, 1990,University of North Carolina, University of California, Los Angeles
189,Clyde Drexler*,1984,1998,G,6-7,210,June 22, 1962,University of Houston
190,Nate Driggers,1997,1997,G,6-5,215,October 12, 1973,University of Montevallo
191,Terry Driscoll,1971,1975,F,6-7,215,August 28, 1947,Boston College
192,Predrag Drobnjak,2002,2005,C,6-11,270,October 27, 1975,
193,Ralph Drollinger,1981,1981,C,7-2,250,April 20, 1954,University of California, Los Angeles
194,Andre Drummond,2013,2018,C,6-11,279,August 10, 1993,University of Connecticut
195,Dick Duckett,1958,1958,G,6-1,185,March 25, 1933,St. John's University
196,Kevin Duckworth,1987,1997,C,7-0,275,April 1, 1964,Eastern Illinois University
197,Charles Dudley,1973,1979,G,6-2,180,March 5, 1950,University of Washington
198,Chris Dudley,1988,2003,C,6-11,235,February 22, 1965,Yale University
199,Jared Dudley,2008,2018,F-G,6-7,225,July 10, 1985,Boston College
200,Terry Duerod,1980,1983,G,6-2,180,July 29, 1956,University of Detroit Mercy
201,Bob Duffy,1947,1947,F,6-4,175,July 5, 1922,Tulane University
202,Bob Duffy,1963,1965,G,6-3,185,September 26, 1940,Colgate University
203,Chris Duhon,2005,2013,G,6-1,185,August 31, 1982,Duke University
204,Duje Dukan,2016,2016,F,6-9,220,December 4, 1991,University of Wisconsin
205,Walter Dukes,1956,1963,C,7-0,220,June 23, 1930,Seton Hall University
206,Joe Dumars*,1986,1999,G,6-3,190,May 24, 1963,McNeese State University
207,Rich Dumas,1969,1969,G,6-3,170,,Northeastern State University
208,Richard Dumas,1993,1996,F,6-7,200,May 19, 1969,Oklahoma State University
209,Tony Dumas,1995,1998,G,6-6,190,August 25, 1972,University of Missouri-Kansas City
210,Andy Duncan,1949,1951,F-C,6-6,195,April 17, 1922,College of William & Mary
211,Tim Duncan,1998,2016,F-C,6-11,250,April 25, 1976,Wake Forest University
212,Mike Dunleavy,1977,1990,G,6-3,180,March 21, 1954,University of South Carolina
213,Mike Dunleavy,2003,2017,F-G,6-9,230,September 15, 1980,Duke University
214,Kris Dunn,2017,2018,G,6-4,210,March 18, 1994,Providence College
215,Pat Dunn,1958,1958,G,6-2,170,March 17, 1931,Utah State University
216,T.R. Dunn,1978,1991,G-F,6-4,192,February 1, 1955,University of Alabama
217,Ronald Dupree,2004,2011,F,6-7,209,January 26, 1981,Louisiana State University
218,Kevin Durant,2008,2018,F-G,6-9,240,September 29, 1988,University of Texas at Austin
219,John Duren,1981,1983,G,6-3,195,October 30, 1958,Georgetown University
220,Jarrett Durham,1972,1972,F,6-5,188,August 22, 1949,Duquesne University
221,Pat Durham,1993,1995,F,6-7,210,March 10, 1967,Colorado State University
222,Devin Durrant,1985,1986,F,6-7,200,October 20, 1960,Brigham Young University
223,Ken Durrett,1972,1975,F,6-7,190,December 8, 1948,La Salle University
224,Dennis DuVal,1975,1976,G,6-3,175,March 31, 1952,Syracuse University
225,Jack Dwan,1949,1949,F-G,6-4,200,May 3, 1921,Loyola University of Chicago
226,Craig Dykema,1982,1982,F,6-8,190,June 11, 1959,California State University, Long Beach
227,Gene Dyker,1954,1954,F,6-6,225,February 17, 1930,DePaul University
228,Jerome Dyson,2012,2012,G,6-3,180,May 1, 1987,University of Connecticut
1,Ledell Eackles,1989,1998,G-F,6-5,220,November 24, 1966,University of New Orleans
2,Jim Eakins,1969,1978,C,6-11,215,May 24, 1946,Brigham Young University
3,Acie Earl,1994,1997,F-C,6-10,240,June 23, 1970,University of Iowa
4,Ed Earle,1954,1954,F,6-3,190,April 28, 1927,Loyola University of Chicago
5,Cleanthony Early,2015,2016,F,6-8,210,April 17, 1991,Wichita State University
6,Penny Early,1969,1969,G,5-3,114,May 30, 1943,
7,Mark Eaton,1983,1993,C,7-4,275,January 24, 1957,University of California, Los Angeles
8,Jerry Eaves,1983,1987,G,6-4,180,February 8, 1959,University of Louisville
9,Devin Ebanks,2011,2013,F,6-9,215,October 28, 1989,West Virginia University
10,Bill Ebben,1958,1958,G,6-4,190,October 7, 1935,University of Detroit Mercy
11,Al Eberhard,1975,1978,F,6-6,225,May 10, 1952,University of Missouri
12,Ndudi Ebi,2004,2005,F,6-9,200,June 18, 1984,
13,Roy Ebron,1974,1974,C,6-9,220,August 31, 1951,University of Louisiana at Lafayette
14,Jarell Eddie,2016,2018,G-F,6-7,218,October 30, 1991,Virginia Polytechnic Institute and State University
15,Patrick Eddie,1992,1992,C,6-11,240,December 27, 1967,Arkansas State University, University of Mississippi
16,Dike Eddleman,1950,1953,F-G,6-3,189,December 27, 1922,University of Illinois at Urbana-Champaign
17,Kenton Edelin,1985,1985,F,6-8,205,May 24, 1962,University of Virginia
18,Charles Edge,1974,1975,F,6-6,210,February 23, 1950,LeMoyne-Owen College
19,Bobby Edmonds,1968,1970,F,6-6,220,March 8, 1941,Tennessee State University
20,Keith Edmonson,1983,1984,G,6-5,195,September 28, 1960,Purdue University
21,Tyus Edney,1996,2001,G,5-10,152,February 14, 1973,University of California, Los Angeles
22,Bill Edwards,1994,1994,F,6-8,215,September 22, 1971,Wright State University
23,Blue Edwards,1990,1999,G-F,6-4,200,October 31, 1965,East Carolina University
24,Corsley Edwards,2005,2005,F,6-9,275,March 5, 1979,Central Connecticut State University
25,Doug Edwards,1994,1996,F,6-7,220,January 21, 1971,Florida State University
26,Franklin Edwards,1982,1988,G,6-1,170,February 2, 1959,Cleveland State University
27,James Edwards,1978,1996,C-F,7-0,225,November 22, 1955,University of Washington
28,Jay Edwards,1990,1990,G,6-4,185,January 3, 1969,Indiana University
29,John Edwards,2005,2006,C,7-0,275,July 31, 1981,Kent State University
30,Kevin Edwards,1989,2001,G,6-3,190,October 30, 1965,DePaul University
31,Shane Edwards,2014,2014,F,6-7,220,May 31, 1987,University of Arkansas at Little Rock
32,Johnny Egan,1962,1972,G,5-11,180,January 31, 1939,Providence College
33,Lonnie Eggleston,1949,1949,G,6-0,170,June 8, 1918,Oklahoma State University
34,Bulbs Ehlers,1948,1949,F-G,6-3,198,March 10, 1923,Purdue University
35,Craig Ehlo,1984,1997,G-F,6-6,180,August 11, 1961,Washington State University
36,Rich Eichhorst,1962,1962,G,6-3,200,October 21, 1933,Southeast Missouri State University
37,Howard Eisley,1995,2006,G,6-2,177,December 4, 1972,Boston College
38,Obinna Ekezie,2000,2005,F-C,6-9,270,August 22, 1975,University of Maryland
39,Khalid El-Amin,2001,2001,G,5-10,200,April 25, 1979,University of Connecticut
40,Don Eliason,1947,1947,F,6-2,210,July 24, 1918,Hamline University
41,Mario Elie,1991,2001,G-F,6-5,210,November 26, 1963,American International College
42,Ray Ellefson,1949,1951,C,6-8,230,November 18, 1922,West Texas A&M; University
43,Henry Ellenson,2017,2018,F,6-11,245,January 13, 1997,Marquette University
44,Wayne Ellington,2010,2018,G,6-4,200,October 29, 1987,University of North Carolina
45,Bob Elliott,1979,1981,C-F,6-9,225,August 18, 1955,University of Arizona
46,Sean Elliott,1990,2001,F,6-8,205,February 2, 1968,University of Arizona
47,Bo Ellis,1978,1980,F,6-9,197,August 8, 1954,Marquette University
48,Boo Ellis,1959,1960,F,6-5,185,February 11, 1936,Niagara University
49,Dale Ellis,1984,2000,G-F,6-7,205,August 6, 1960,University of Tennessee
50,Harold Ellis,1994,1998,G,6-5,200,October 7, 1970,Morehouse College
51,Joe Ellis,1967,1974,F-G,6-6,175,May 3, 1944,University of San Francisco
52,LaPhonso Ellis,1993,2003,F,6-8,240,May 5, 1970,University of Notre Dame
53,LeRon Ellis,1992,1996,F-C,6-9,225,April 28, 1969,University of Kentucky, Syracuse University
54,Leroy Ellis,1963,1976,C-F,6-10,210,March 10, 1940,St. John's University
55,Monta Ellis,2006,2017,G,6-3,185,October 26, 1985,
56,Pervis Ellison,1990,2001,F-C,6-9,210,April 3, 1967,University of Louisville
57,Len Elmore,1975,1984,C-F,6-9,220,March 28, 1952,University of Maryland
58,Francisco Elson,2004,2012,C,7-0,235,February 28, 1976,University of California
59,Darrell Elston,1975,1977,G,6-4,190,August 15, 1952,University of North Carolina
60,Melvin Ely,2003,2014,C,6-10,260,May 2, 1978,California State University, Fresno
61,Joel Embiid,2017,2018,C,7-0,250,March 16, 1994,University of Kansas
62,Wayne Embry*,1959,1969,C-F,6-8,240,March 26, 1937,Miami University
63,Andre Emmett,2005,2012,F,6-5,230,August 27, 1982,Texas Tech University
64,Ned Endress,1947,1947,F-G,6-2,200,March 2, 1918,University of Akron
65,Chris Engler,1983,1988,C,6-11,245,March 1, 1959,University of Minnesota, University of Wyoming
66,Wayne Englestad,1989,1989,F,6-8,245,December 6, 1966,University of California, Irvine
67,A.J. English,1991,1992,G,6-3,175,July 11, 1967,Virginia Union University
68,Alex English*,1977,1991,F,6-7,190,January 5, 1954,University of South Carolina
69,Claude English,1971,1971,F,6-4,185,December 26, 1946,University of Rhode Island
70,Jo Jo English,1993,1995,G,6-4,195,February 4, 1970,University of South Carolina
71,Kim English,2013,2013,G,6-6,200,September 24, 1988,University of Missouri
72,Scott English,1973,1975,F,6-6,205,October 20, 1950,University of Texas at El Paso
73,Gene Englund,1950,1950,F-C,6-5,205,October 21, 1917,University of Wisconsin
74,James Ennis,2015,2018,F,6-7,210,July 1, 1990,California State University, Long Beach
75,Tyler Ennis,2015,2018,G,6-3,194,August 24, 1994,Syracuse University
76,Ray Epps,1979,1979,F,6-6,195,August 20, 1956,Norfolk State University
77,Semih Erden,2011,2012,C,7-0,240,July 28, 1986,
78,Bo Erias,1958,1958,F,6-3,220,July 30, 1932,Niagara University
79,Keith Erickson,1966,1977,F-G,6-5,195,April 19, 1944,University of California, Los Angeles
80,Julius Erving*,1972,1987,F-G,6-7,210,February 22, 1950,University of Massachusetts Amherst
81,Evan Eschmeyer,2000,2003,C,6-11,255,May 30, 1975,Northwestern University
82,Jack Eskridge,1949,1949,C-F,6-5,200,January 21, 1924,University of Kansas
83,Vincenzo Esposito,1996,1996,G,6-3,198,January 3, 1969,
84,Billy Evans,1970,1970,G,6-0,170,March 3, 1947,Boston College
85,Bob Evans,1950,1950,G,6-2,175,May 31, 1925,Butler University
86,Brian Evans,1997,1999,F,6-8,220,September 13, 1973,Indiana University
87,Earl Evans,1980,1980,F,6-8,202,November 11, 1955,University of Southern California, University of Nevada, Las Vegas
88,Jawun Evans,2018,2018,G,6-0,185,July 26, 1996,Oklahoma State University
89,Jeremy Evans,2011,2018,F,6-9,200,October 24, 1987,Western Kentucky University
90,Maurice Evans,2002,2012,G,6-5,220,November 8, 1978,Wichita State University, University of Texas at Austin
91,Mike Evans,1980,1988,G,6-1,170,April 19, 1955,Kansas State University
92,Reggie Evans,2003,2015,F,6-8,245,May 18, 1980,University of Iowa
93,Tyreke Evans,2010,2018,G-F,6-6,220,September 19, 1989,University of Memphis
94,Daniel Ewing,2006,2007,G,6-3,185,March 26, 1983,Duke University
95,Patrick Ewing*,1986,2002,C-F,7-0,240,August 5, 1962,Georgetown University
96,Patrick Ewing,2011,2011,F,6-8,235,May 20, 1984,Indiana University, Georgetown University
97,Dante Exum,2015,2018,G,6-6,190,July 13, 1995,
98,Christian Eyenga,2011,2012,F,6-5,210,June 22, 1989,
99,Festus Ezeli,2013,2016,C,6-11,255,October 21, 1989,Vanderbilt University
100,Johnny Ezersky,1948,1950,F-G,6-3,175,March 21, 1922,University of Rhode Island
1,Joe Fabel,1947,1947,F-G,6-1,190,September 4, 1913,University of Pittsburgh
2,John Fairchild,1966,1970,F,6-8,205,April 28, 1943,Brigham Young University
3,Phil Farbman,1949,1949,F,6-1,185,April 3, 1924,City College of New York
4,Kenneth Faried,2012,2018,F,6-8,228,November 19, 1989,Morehead State University
5,Dick Farley,1955,1959,G-F,6-4,190,April 13, 1932,Indiana University
6,Jordan Farmar,2007,2017,G,6-2,180,November 30, 1986,University of California, Los Angeles
7,Desmon Farmer,2007,2009,G,6-5,220,October 7, 1981,University of Southern California
8,Jim Farmer,1988,1994,G,6-4,190,September 23, 1964,University of Alabama
9,Mike Farmer,1959,1966,F,6-7,210,September 26, 1936,University of San Francisco
10,Tony Farmer,1998,2000,F,6-9,244,January 3, 1970,San Jose State University, University of Nebraska
11,Bob Faught,1947,1947,F,6-5,185,September 2, 1921,University of Notre Dame
12,Vitor Faverani,2014,2014,C,6-11,260,May 5, 1988,
13,Derrick Favors,2011,2018,F-C,6-10,265,July 15, 1991,Georgia Institute of Technology
14,Nick Fazekas,2008,2008,F,6-11,235,June 17, 1985,University of Nevada, Reno
15,Dave Fedor,1963,1963,F,6-6,190,December 10, 1940,Florida State University
16,Bob Feerick,1947,1950,F-G,6-3,190,January 2, 1920,Santa Clara University
17,Butch Feher,1977,1977,G,6-4,185,May 19, 1954,Vanderbilt University
18,Jamie Feick,1997,2001,C,6-9,255,July 3, 1974,Michigan State University
19,Ron Feiereisel,1956,1956,G,6-3,185,August 6, 1931,DePaul University
20,George Feigenbaum,1950,1953,G,6-1,185,July 2, 1929,University of Kentucky
21,Dave Feitl,1987,1992,C,6-11,235,June 8, 1962,University of Texas at El Paso
22,Kay Felder,2017,2018,G,5-9,176,March 29, 1995,Oakland University
23,Cristiano Felicio,2016,2018,F-C,6-10,275,July 7, 1992,
24,Carrick Felix,2014,2014,G,6-6,201,August 17, 1990,Arizona State University
25,Noel Felix,2006,2006,F,6-9,225,October 4, 1981,California State University, Fresno
26,Ray Felix,1954,1962,C,6-11,220,December 10, 1930,Long Island University
27,Raymond Felton,2006,2018,G,6-1,205,June 26, 1984,University of North Carolina
28,Jake Fendley,1952,1953,G,6-0,180,June 12, 1929,Northwestern University
29,Warren Fenley,1947,1947,F,6-3,190,February 8, 1922,Manhattan College
30,Desmond Ferguson,2004,2004,G-F,6-7,203,July 22, 1977,University of Missouri, University of Detroit Mercy
31,Terrance Ferguson,2018,2018,G-F,6-7,184,May 17, 1998,
32,Rudy Fernandez,2009,2012,G,6-6,185,April 4, 1985,
33,Eric Fernsten,1976,1984,C-F,6-10,205,November 1, 1953,University of San Francisco
34,Al Ferrari,1956,1963,G-F,6-4,190,July 6, 1933,Michigan State University
35,Rolando Ferreira,1989,1989,C,7-1,240,May 24, 1964,University of Houston
36,Duane Ferrell,1989,1999,F-G,6-7,209,February 28, 1965,Georgia Institute of Technology
37,Yogi Ferrell,2017,2018,G,6-0,180,May 9, 1993,Indiana University
38,Arnie Ferrin,1949,1951,F-G,6-2,180,July 29, 1925,University of Utah
39,Bob Ferry,1960,1969,C-F,6-8,230,May 31, 1937,Saint Louis University
40,Danny Ferry,1991,2003,F,6-10,230,October 17, 1966,Duke University
